Price,Quantity
282.0,44.2
283.0,44.7
283.97,49.2
283.97,49.2
283.97,49.2
283.97,49.2
289.0,9.2
290.78,18.0
290.78,19.0
293.56,5.0
296.02,19.0
300.0,14.7
300.0,13.6
300.0,12.5
301.02,6.0
304.0,34.0
305.66,4.0
306.44,5.0
306.94,5.0
307.27,4.0
307.35,2.0
308.5,11.0
309.0,12.8
309.0,0.0
309.02,5.0
310.99,39.3
310.99,37.8
310.99,38.0
310.99,37.4
311.99,1.0
311.99,1.0
311.99,1.0
311.99,1.0
312.75,6.0
312.75,6.0
316.95,1.4
319.24,2.5
320.0,10.0
320.0,3.0
328.91,5.5
328.91,8.1
330.0,1.0
330.0,13.0
350.0,3.0
350.0,7.0
354.54,86.0
355.0,2.0
357.0,18.0
361.38,0.0
366.13,66.0
373.06,2.0
379.29,0.0
380.0,1.6
380.0,6.0
381.84,85.3
381.84,87.4
382.8,6.0
384.0,3.0
387.2,23.0
388.5,15.0
389.36,20.0
389.39,19.7
389.42,19.5
389.44,16.1
389.96,18.2
390.96,1.0
391.67,22.0
391.71,22.0
391.99,22.0
391.99,22.0
391.99,22.0
398.0,14.0
399.0,42.6
399.0,7.0
399.0,6.9
399.02,18.8
400.0,20.0
400.0,11.4
400.0,18.0
400.0,4.7
400.0,4.3
400.0,61.8
400.0,7.9
400.0,6.6
400.0,19.0
400.0,0.8
400.0,4.5
400.0,4.0
402.49,2.0
402.49,2.0
402.49,2.0
402.49,2.0
402.49,2.0
402.49,2.0
405.0,21.1
405.0,3.6
405.0,1.3
408.0,20.4
408.0,20.3
410.0,0.6
410.35,21.0
410.35,22.0
413.0,46.3
416.0,46.9
422.0,47.8
423.59,11.7
423.89,40.0
426.0,47.9
455.0,20.0
455.0,20.0
457.0,24.3
475.0,12.0
481.33,1.0
487.15,1.0
488.47,0.3
500.0,6.0
500.0,10.0
500.0,25.0
500.0,25.0
500.0,220.0
501.0,8.0
510.0,10.0
520.0,10.0
522.55,20.0
524.96,15.0
524.98,15.0
524.99,15.0
540.0,10.0
541.36,55.0
541.37,65.0
541.39,60.0
545.0,10.0
559.01,20.0
575.0,15.0
600.0,11.0
605.0,7.0
626.0,9.0
715.0,37.0
800.0,77.0
997.0,33.0
997.0,9.0
997.0,9.0
998.0,0.0
998.0,27.4
998.0,29.9
999.0,6.8
999.0,22.3
999.0,14.9
999.0,34.2
999.0,9.5
999.0,2.0
999.0,11.6
999.0,4.0
999.0,17.5
999.0,1.5
999.0,8.0
999.0,16.8
999.0,34.9
999.0,20.2
999.0,19.7
999.0,26.0
999.0,13.2
999.0,3.3
999.0,7.8
999.0,7.8
999.0,2.1
999.0,3.3
999.0,20.0
999.0,6.0
1000.0,21.5
